Transaction_ID,Customer_ID,Product_ID,Transaction_Date,Total_Price,Quantity,Payment_Method
TX0018_2,CUST0024,PRD026,2024-07-08,3396,4,Google Pay
TX0018_3,CUST0024,PRD018,2024-07-16,3798,2,PayPal
TX0018_4,CUST0024,PRD017,2024-07-23,178,2,Credit Card
TX0019_1,CUST0025,PRD012,2024-06-14,4497,3,Apple Pay
TX0019_2,CUST0025,PRD020,2024-07-08,1998,2,Credit Card
TX0020_1,CUST0026,PRD018,2024-06-04,5697,3,Cash
TX0020_2,CUST0026,PRD014,2024-07-22,1199,1,PayPal
TX0020_3,CUST0026,PRD004,2024-06-11,1999,1,Apple Pay
TX0020_4,CUST0026,PRD027,2024-07-09,1495,5,Cash
TX0020_5,CUST0026,PRD026,2024-07-31,4245,5,Bank Transfer
TX0021_1,CUST0027,PRD015,2024-07-30,2798,2,Credit Card
TX0021_2,CUST0027,PRD024,2024-06-21,179,1,Cash
TX0021_3,CUST0027,PRD022,2024-06-17,1799,1,Credit Card
TX0021_4,CUST0027,PRD032,2024-06-30,1598,2,Cash
TX0022_1,CUST0028,PRD004,2024-06-16,3998,2,Credit Card
TX0023_1,CUST0029,PRD027,2024-06-05,1495,5,Bank Transfer
TX0023_2,CUST0029,PRD010,2024-06-25,1745,5,Cash
TX0023_3,CUST0029,PRD026,2024-07-04,1698,2,Google Pay
TX0023_4,CUST0029,PRD023,2024-07-02,4197,3,Google Pay
TX0024_1,CUST0032,PRD004,2024-06-02,5997,3,Credit Card
TX0024_2,CUST0032,PRD024,2024-06-05,895,5,Google Pay
TX0025_1,CUST0033,PRD021,2024-06-18,1996,4,Cash
TX0025_2,CUST0033,PRD027,2024-07-11,299,1,Google Pay
TX0026_1,CUST0034,PRD034,2024-07-23,2596,4,PayPal
TX0026_2,CUST0034,PRD007,2024-07-12,3996,4,Credit Card
TX0026_3,CUST0034,PRD022,2024-06-09,8995,5,Google Pay
TX0026_4,CUST0034,PRD009,2024-06-01,1498,2,Bank Transfer
TX0026_5,CUST0034,PRD010,2024-06-10,1745,5,Cash
TX0027_1,CUST0035,PRD015,,2798,2,
TX0027_2,CUST0035,PRD007,,999,1,
TX0027_3,CUST0035,PRD026,,849,1,
TX0027_4,CUST0035,PRD014,,3597,3,
TX0027_5,CUST0035,PRD033,,1499,1,
TX0028_1,CUST0037,PRD030,,2097,3,
TX0028_2,CUST0037,PRD006,,249,1,
TX0028_3,CUST0037,PRD028,,2995,5,
TX0028_4,CUST0037,PRD024,,895,5,
TX0028_5,CUST0037,PRD007,,1998,2,
TX0029_1,CUST0041,PRD034,,1947,3,
TX0029_2,CUST0041,PRD031,,5995,5,
TX0030_1,CUST0043,PRD029,,149,1,
TX0030_2,CUST0043,PRD029,,745,5,
TX0030_3,CUST0043,PRD021,,2495,5,
TX0030_4,CUST0043,PRD031,,1199,1,
TX0031_1,CUST0046,PRD006,,1245,5,
TX0031_2,CUST0046,PRD029,,447,3,
TX0032_1,CUST0047,PRD011,,398,2,
TX0032_2,CUST0047,PRD015,,1399,1,
TX0032_3,CUST0047,PRD001,,1998,2,
TX0032_4,CUST0047,PRD035,,3897,3,
TX0033_1,CUST0048,PRD030,,2796,4,
TX0033_2,CUST0048,PRD027,,1495,5,
TX0034_1,CUST0049,PRD005,,1495,5,
TX0034_2,CUST0049,PRD014,,2398,2,
TX0034_3,CUST0049,PRD021,,1497,3,
TX0035_1,CUST0050,PRD035,,6495,5,
TX0035_2,CUST0050,PRD031,,3597,3,
TX0035_3,CUST0050,PRD027,,1196,4,
TX0035_4,CUST0050,PRD035,,5196,4,
TX0035_5,CUST0050,PRD014,,1199,1,
TX0036_1,CUST0051,PRD004,,3998,2,
TX0036_2,CUST0051,PRD020,,4995,5,
TX0036_3,CUST0051,PRD020,,1998,2,
TX0036_4,CUST0051,PRD031,,4796,4,
TX0037_1,CUST0052,PRD022,,7196,4,
TX0037_2,CUST0052,PRD006,,747,3,
TX0037_3,CUST0052,PRD005,,897,3,
TX0037_4,CUST0052,PRD019,,1995,5,
TX0037_5,CUST0052,PRD007,,4995,5,
TX0038_1,CUST0053,PRD006,,498,2,
TX0038_2,CUST0053,PRD021,,1497,3,
TX0038_3,CUST0053,PRD028,,2995,5,
TX0038_4,CUST0053,PRD035,,5196,4,
TX0039_1,CUST0055,PRD017,,178,2,
TX0039_2,CUST0055,PRD035,,5196,4,
TX0039_3,CUST0055,PRD034,,1947,3,
TX0040_1,CUST0056,PRD010,,1745,5,
TX0040_2,CUST0056,PRD023,,5596,4,
TX0040_3,CUST0056,PRD033,,1499,1,
TX0040_4,CUST0056,PRD017,,267,3,
TX0041_1,CUST0057,PRD023,,6995,5,
TX0041_2,CUST0057,PRD001,,3996,4,
TX0042_1,CUST0058,PRD012,,5996,4,
TX0042_2,CUST0058,PRD031,,3597,3,
TX0042_3,CUST0058,PRD027,,897,3,
TX0042_4,CUST0058,PRD005,,598,2,
TX0043_1,CUST0061,PRD011,,995,5,
TX0044_1,CUST0062,PRD022,,5397,3,
TX0044_2,CUST0062,PRD033,,5996,4,
TX0044_3,CUST0062,PRD013,,1299,1,
TX0044_4,CUST0062,PRD014,,2398,2,
TX0044_5,CUST0062,PRD008,,4495,5,
TX0045_1,CUST0063,PRD034,,2596,4,
TX0045_2,CUST0063,PRD027,,1196,4,
TX0045_3,CUST0063,PRD010,,1396,4,
TX0045_4,CUST0063,PRD030,,3495,5,
TX0045_5,CUST0063,PRD034,,1947,3,
TX0046_1,CUST0064,PRD011,,995,5,
TX0046_2,CUST0064,PRD033,,5996,4,
TX0046_3,CUST0064,PRD006,,498,2,
TX0046_4,CUST0064,PRD025,,899,1,
TX0047_1,CUST0066,PRD019,,798,2,
TX0047_2,CUST0066,PRD014,,3597,3,
TX0047_3,CUST0066,PRD005,,1196,4,
TX0047_4,CUST0066,PRD031,,4796,4,
TX0048_1,CUST0067,PRD036,,3297,3,
TX0048_2,CUST0067,PRD016,,1645,5,
TX0049_1,CUST0068,PRD029,,745,5,
TX0049_2,CUST0068,PRD014,,2398,2,
TX0050_1,CUST0069,PRD016,,1316,4,
TX0050_2,CUST0069,PRD025,,2697,3,
TX0050_3,CUST0069,PRD033,,5996,4,
TX0050_4,CUST0069,PRD020,,3996,4,
TX0051_1,CUST0072,PRD004,,5997,3,
TX0051_2,CUST0072,PRD001,,4995,5,
TX0051_3,CUST0072,PRD020,,1998,2,
TX0051_4,CUST0072,PRD009,,749,1,
TX0052_1,CUST0074,PRD018,,9495,5,
TX0052_2,CUST0074,PRD016,,1316,4,
TX0053_1,CUST0075,PRD014,,3597,3,
TX0053_2,CUST0075,PRD032,,799,1,
TX0053_3,CUST0075,PRD008,,3596,4,
TX0054_1,CUST0076,PRD031,,2398,2,
TX0054_2,CUST0076,PRD017,,267,3,
TX0054_3,CUST0076,PRD002,,3995,5,
TX0055_1,CUST0078,PRD007,,999,1,
TX0055_2,CUST0078,PRD013,,1299,1,
TX0055_3,CUST0078,PRD008,,899,1,
TX0055_4,CUST0078,PRD014,,1199,1,
TX0056_1,CUST0079,PRD002,,3995,5,
TX0056_2,CUST0079,PRD032,,2397,3,
TX0057_1,CUST0081,PRD015,,4197,3,
TX0057_2,CUST0081,PRD013,,6495,5,
TX0057_3,CUST0081,PRD019,,1197,3,
TX0058_1,CUST0082,PRD034,,2596,4,
TX0059_1,CUST0083,PRD027,,1495,5,
TX0059_2,CUST0083,PRD011,,398,2,
TX0059_3,CUST0083,PRD027,,1495,5,
TX0060_1,CUST0084,PRD004,,1999,1,
TX0060_2,CUST0084,PRD008,,1798,2,
TX0061_1,CUST0085,PRD010,,1745,5,
TX0061_2,CUST0085,PRD024,,179,1,
TX0061_3,CUST0085,PRD035,,3897,3,
TX0061_4,CUST0085,PRD020,,1998,2,
TX0062_1,CUST0086,PRD008,,899,1,
TX0062_2,CUST0086,PRD015,,2798,2,
TX0062_3,CUST0086,PRD012,,4497,3,
TX0062_4,CUST0086,PRD008,,3596,4,
TX0062_5,CUST0086,PRD034,,1947,3,
TX0063_1,CUST0087,PRD036,,4396,4,
TX0063_2,CUST0087,PRD020,,1998,2,
TX0064_1,CUST0089,PRD009,,1498,2,
TX0064_2,CUST0089,PRD003,,2396,4,
TX0064_3,CUST0089,PRD018,,1899,1,
TX0064_4,CUST0089,PRD007,,2997,3,
TX0064_5,CUST0089,PRD029,,745,5,
TX0065_1,CUST0090,PRD032,,2397,3,
TX0066_1,CUST0091,PRD012,,2998,2,
TX0066_2,CUST0091,PRD030,,3495,5,
TX0067_1,CUST0092,PRD036,,3297,3,
TX0067_2,CUST0092,PRD007,,999,1,
TX0067_3,CUST0092,PRD009,,1498,2,
TX0068_1,CUST0093,PRD032,,3196,4,
TX0068_2,CUST0093,PRD001,,2997,3,
TX0069_1,CUST0094,PRD012,,7495,5,
TX0069_2,CUST0094,PRD011,,995,5,
TX0070_1,CUST0095,PRD027,,897,3,
TX0070_2,CUST0095,PRD032,,799,1,
TX0070_3,CUST0095,PRD004,,3998,2,
TX0071_1,CUST0096,PRD014,,1199,1,
TX0071_2,CUST0096,PRD025,,3596,4,
TX0072_1,CUST0097,PRD007,,4995,5,
TX0072_2,CUST0097,PRD032,,2397,3,
TX0073_1,CUST0098,PRD018,,7596,4,
TX0074_1,CUST0099,PRD015,,5596,4,
TX0074_2,CUST0099,PRD020,,1998,2,
TX0074_3,CUST0099,PRD029,,596,4,
TX0074_4,CUST0099,PRD032,,2397,3,
TX0075_1,CUST0101,PRD025,,2697,3,
TX0075_2,CUST0101,PRD003,,1797,3,
TX0075_3,CUST0101,PRD002,,3196,4,
TX0076_1,CUST0102,PRD007,,999,1,
TX0076_2,CUST0102,PRD032,,1598,2,
TX0076_3,CUST0102,PRD035,,6495,5,
TX0076_4,CUST0102,PRD009,,749,1,
TX0077_1,CUST0103,PRD012,,5996,4,
TX0077_2,CUST0103,PRD007,,3996,4,
TX0077_3,CUST0103,PRD013,,1299,1,
TX0077_4,CUST0103,PRD021,,1497,3,
TX0077_5,CUST0103,PRD008,,899,1,
TX0078_1,CUST0104,PRD034,,1298,2,
TX0079_1,CUST0105,PRD015,,6995,5,
TX0080_1,CUST0107,PRD002,,3995,5,
TX0080_2,CUST0107,PRD026,,1698,2,
TX0080_3,CUST0107,PRD032,,3995,5,
TX0080_4,CUST0107,PRD014,,2398,2,
TX0081_1,CUST0108,PRD034,,1298,2,
TX0081_2,CUST0108,PRD019,,798,2,
TX0081_3,CUST0108,PRD028,,2396,4,
TX0081_4,CUST0108,PRD012,,4497,3,
TX0081_5,CUST0108,PRD035,,1299,1,
TX0082_1,CUST0110,PRD008,,3596,4,
TX0082_2,CUST0110,PRD030,,699,1,
TX0082_3,CUST0110,PRD013,,1299,1,
TX0082_4,CUST0110,PRD028,,2396,4,
TX0082_5,CUST0110,PRD018,,3798,2,
TX0083_1,CUST0112,PRD033,,2998,2,
TX0083_2,CUST0112,PRD016,,1645,5,
TX0083_3,CUST0112,PRD030,,1398,2,
TX0083_4,CUST0112,PRD033,,1499,1,
TX0083_5,CUST0112,PRD010,,698,2,
TX0084_1,CUST0114,PRD001,,999,1,
TX0084_2,CUST0114,PRD007,,4995,5,
TX0084_3,CUST0114,PRD009,,749,1,
TX0084_4,CUST0114,PRD003,,2995,5,
TX0085_1,CUST0115,PRD005,,897,3,
TX0085_2,CUST0115,PRD013,,3897,3,
TX0085_3,CUST0115,PRD003,,2396,4,
TX0085_4,CUST0115,PRD036,,5495,5,
TX0085_5,CUST0115,PRD013,,2598,2,
TX0086_1,CUST0116,PRD004,,7996,4,
TX0086_2,CUST0116,PRD003,,1797,3,
TX0087_1,CUST0117,PRD012,,4497,3,
TX0088_1,CUST0118,PRD016,,987,3,
TX0089_1,CUST0119,PRD022,,3598,2,
TX0090_1,CUST0120,PRD005,,299,1,
TX0090_2,CUST0120,PRD008,,4495,5,
TX0091_1,CUST0121,PRD023,,4197,3,
TX0091_2,CUST0121,PRD029,,298,2,
TX0091_3,CUST0121,PRD022,,5397,3,
TX0091_4,CUST0121,PRD008,,899,1,
TX0092_1,CUST0122,PRD004,,1999,1,
TX0093_1,CUST0123,PRD015,,1399,1,
TX0093_2,CUST0123,PRD036,,1099,1,
TX0093_3,CUST0123,PRD014,,1199,1,
TX0093_4,CUST0123,PRD008,,4495,5,
TX0094_1,CUST0124,PRD022,,8995,5,
TX0094_2,CUST0124,PRD034,,2596,4,
TX0094_3,CUST0124,PRD022,,5397,3,
TX0095_1,CUST0126,PRD036,,5495,5,
TX0095_2,CUST0126,PRD021,,1996,4,
TX0095_3,CUST0126,PRD010,,1745,5,
TX0096_1,CUST0127,PRD020,,999,1,
TX0096_2,CUST0127,PRD025,,1798,2,
TX0096_3,CUST0127,PRD006,,249,1,
TX0096_4,CUST0127,PRD030,,699,1,
TX0096_5,CUST0127,PRD029,,447,3,
TX0097_1,CUST0129,PRD026,,1698,2,
TX0098_1,CUST0130,PRD013,,3897,3,
TX0098_2,CUST0130,PRD006,,747,3,
TX0099_1,CUST0131,PRD021,,499,1,
TX0099_2,CUST0131,PRD021,,1497,3,
TX0099_3,CUST0131,PRD001,,999,1,
TX0099_4,CUST0131,PRD003,,2396,4,
TX0100_1,CUST0132,PRD007,,999,1,
TX0100_2,CUST0132,PRD025,,2697,3,
TX0101_1,CUST0133,PRD036,,5495,5,
TX0101_2,CUST0133,PRD012,,5996,4,
TX0101_3,CUST0133,PRD036,,3297,3,
TX0101_4,CUST0133,PRD024,,358,2,
TX0101_5,CUST0133,PRD036,,4396,4,
TX0102_1,CUST0134,PRD033,,4497,3,
TX0102_2,CUST0134,PRD007,,1998,2,
TX0102_3,CUST0134,PRD005,,1196,4,
TX0102_4,CUST0134,PRD024,,895,5,
TX0102_5,CUST0134,PRD005,,897,3,
TX0103_1,CUST0135,PRD005,,1196,4,
TX0103_2,CUST0135,PRD008,,899,1,
TX0103_3,CUST0135,PRD011,,597,3,
TX0103_4,CUST0135,PRD011,,398,2,
TX0104_1,CUST0136,PRD025,,3596,4,
TX0105_1,CUST0138,PRD019,,399,1,
TX0105_2,CUST0138,PRD009,,2247,3,
TX0105_3,CUST0138,PRD014,,3597,3,
TX0105_4,CUST0138,PRD035,,6495,5,
TX0106_1,CUST0139,PRD036,,4396,4,
TX0106_2,CUST0139,PRD030,,1398,2,
TX0106_3,CUST0139,PRD020,,2997,3,
TX0107_1,CUST0140,PRD008,,3596,4,
TX0107_2,CUST0140,PRD009,,2996,4,
TX0107_3,CUST0140,PRD029,,298,2,
TX0107_4,CUST0140,PRD032,,3995,5,
TX0108_1,CUST0141,PRD011,,796,4,
TX0108_2,CUST0141,PRD017,,445,5,
TX0108_3,CUST0141,PRD015,,6995,5,
TX0108_4,CUST0141,PRD027,,598,2,
TX0109_1,CUST0142,PRD024,,358,2,
TX0110_1,CUST0143,PRD014,,3597,3,
TX0110_2,CUST0143,PRD008,,1798,2,
TX0110_3,CUST0143,PRD036,,5495,5,
TX0110_4,CUST0143,PRD025,,899,1,
TX0111_1,CUST0145,PRD030,,2097,3,
TX0111_2,CUST0145,PRD033,,7495,5,
TX0112_1,CUST0147,PRD016,,658,2,
TX0112_2,CUST0147,PRD003,,599,1,
TX0113_1,CUST0148,PRD022,,1799,1,
TX0113_2,CUST0148,PRD015,,2798,2,
TX0113_3,CUST0148,PRD023,,6995,5,
TX0114_1,CUST0150,PRD006,,747,3,
TX0114_2,CUST0150,PRD011,,995,5,
TX0114_3,CUST0150,PRD003,,2995,5,
TX0114_4,CUST0150,PRD007,,4995,5,
TX0114_5,CUST0150,PRD012,,1499,1,
TX0115_1,CUST0151,PRD003,,599,1,
TX0115_2,CUST0151,PRD013,,3897,3,
TX0115_3,CUST0151,PRD018,,3798,2,
TX0115_4,CUST0151,PRD015,,2798,2,
TX0115_5,CUST0151,PRD019,,1995,5,
TX0116_1,CUST0152,PRD031,,4796,4,
TX0116_2,CUST0152,PRD013,,6495,5,
TX0117_1,CUST0154,PRD005,,299,1,
TX0117_2,CUST0154,PRD033,,1499,1,
TX0117_3,CUST0154,PRD005,,598,2,
TX0118_1,CUST0156,PRD003,,1198,2,
TX0118_2,CUST0156,PRD005,,299,1,
TX0118_3,CUST0156,PRD035,,6495,5,
TX0118_4,CUST0156,PRD007,,3996,4,
TX0119_1,CUST0157,PRD021,,2495,5,
TX0120_1,CUST0158,PRD001,,999,1,
TX0120_2,CUST0158,PRD006,,498,2,
TX0121_1,CUST0159,PRD013,,2598,2,
TX0121_2,CUST0159,PRD001,,4995,5,
TX0121_3,CUST0159,PRD006,,996,4,
TX0121_4,CUST0159,PRD028,,2995,5,
TX0121_5,CUST0159,PRD009,,749,1,
TX0122_1,CUST0160,PRD006,,996,4,
TX0123_1,CUST0161,PRD007,,1998,2,
TX0123_2,CUST0161,PRD029,,298,2,
TX0123_3,CUST0161,PRD002,,2397,3,
TX0124_1,CUST0163,PRD018,,3798,2,
TX0125_1,CUST0164,PRD033,,7495,5,
TX0126_1,CUST0165,PRD016,,329,1,
TX0126_2,CUST0165,PRD015,,5596,4,
TX0126_3,CUST0165,PRD003,,1797,3,
TX0126_4,CUST0165,PRD035,,2598,2,
TX0127_1,CUST0166,PRD033,,1499,1,
TX0127_2,CUST0166,PRD034,,3245,5,
TX0127_3,CUST0166,PRD001,,4995,5,
TX0127_4,CUST0166,PRD028,,1198,2,
TX0128_1,CUST0167,PRD015,,2798,2,
TX0128_2,CUST0167,PRD022,,1799,1,
TX0128_3,CUST0167,PRD010,,1396,4,
TX0128_4,CUST0167,PRD033,,5996,4,
TX0129_1,CUST0168,PRD017,,356,4,
TX0129_2,CUST0168,PRD035,,3897,3,
TX0129_3,CUST0168,PRD023,,6995,5,
TX0129_4,CUST0168,PRD013,,3897,3,
TX0129_5,CUST0168,PRD003,,2995,5,
TX0130_1,CUST0169,PRD002,,1598,2,
TX0130_2,CUST0169,PRD002,,2397,3,
TX0130_3,CUST0169,PRD013,,1299,1,
TX0131_1,CUST0170,PRD023,,1399,1,
TX0131_2,CUST0170,PRD006,,498,2,
TX0131_3,CUST0170,PRD022,,1799,1,
TX0132_1,CUST0177,PRD017,,356,4,
TX0132_2,CUST0177,PRD023,,4197,3,
TX0133_1,CUST0178,PRD017,,267,3,
TX0133_2,CUST0178,PRD002,,3995,5,
TX0133_3,CUST0178,PRD009,,1498,2,
TX0133_4,CUST0178,PRD028,,599,1,
TX0133_5,CUST0178,PRD004,,7996,4,
TX0134_1,CUST0179,PRD012,,5996,4,
TX0134_2,CUST0179,PRD010,,1745,5,
TX0135_1,CUST0181,PRD034,,3245,5,
TX0136_1,CUST0182,PRD022,,8995,5,
TX0136_2,CUST0182,PRD006,,249,1,
TX0137_1,CUST0184,PRD015,,1399,1,
TX0137_2,CUST0184,PRD018,,1899,1,
TX0137_3,CUST0184,PRD004,,1999,1,
TX0137_4,CUST0184,PRD006,,498,2,
TX0137_5,CUST0184,PRD023,,6995,5,
TX0138_1,CUST0187,PRD017,,89,1,
TX0139_1,CUST0188,PRD012,,2998,2,
TX0140_1,CUST0192,PRD010,,698,2,
TX0140_2,CUST0192,PRD028,,2396,4,
TX0140_3,CUST0192,PRD024,,716,4,
TX0141_1,CUST0193,PRD015,,6995,5,
TX0141_2,CUST0193,PRD005,,897,3,
TX0141_3,CUST0193,PRD021,,499,1,
TX0142_1,CUST0195,PRD029,,298,2,
TX0143_1,CUST0196,PRD002,,799,1,
TX0143_2,CUST0196,PRD020,,1998,2,
TX0144_1,CUST0197,PRD002,,2397,3,
TX0144_2,CUST0197,PRD025,,1798,2,
TX0145_1,CUST0199,PRD017,,89,1,
TX0146_1,CUST0202,PRD019,,1197,3,
TX0146_2,CUST0202,PRD013,,2598,2,
TX0147_1,CUST0203,PRD018,,9495,5,
TX0147_2,CUST0203,PRD023,,2798,2,
TX0147_3,CUST0203,PRD014,,2398,2,
TX0147_4,CUST0203,PRD028,,1797,3,
TX0148_1,CUST0204,PRD026,,3396,4,
TX0148_2,CUST0204,PRD001,,999,1,
TX0148_3,CUST0204,PRD002,,3196,4,
TX0149_1,CUST0205,PRD011,,796,4,
TX0149_2,CUST0205,PRD002,,2397,3,
TX0149_3,CUST0205,PRD010,,349,1,
TX0149_4,CUST0205,PRD012,,7495,5,
TX0150_1,CUST0206,PRD012,,7495,5,
TX0150_2,CUST0206,PRD001,,1998,2,
TX0150_3,CUST0206,PRD014,,4796,4,
TX0150_4,CUST0206,PRD029,,298,2,
TX0151_1,CUST0207,PRD014,,1199,1,
TX0151_2,CUST0207,PRD012,,4497,3,
TX0152_1,CUST0209,PRD021,,499,1,
TX0152_2,CUST0209,PRD016,,1316,4,
TX0152_3,CUST0209,PRD011,,995,5,
TX0152_4,CUST0209,PRD033,,5996,4,
TX0152_5,CUST0209,PRD028,,2995,5,
TX0153_1,CUST0210,PRD027,,897,3,
TX0153_2,CUST0210,PRD008,,899,1,
TX0153_3,CUST0210,PRD034,,3245,5,
TX0153_4,CUST0210,PRD036,,1099,1,
TX0153_5,CUST0210,PRD032,,799,1,
TX0154_1,CUST0211,PRD028,,1797,3,
TX0154_2,CUST0211,PRD003,,2995,5,
TX0154_3,CUST0211,PRD023,,2798,2,
TX0154_4,CUST0211,PRD016,,1316,4,
TX0155_1,CUST0212,PRD010,,349,1,
TX0155_2,CUST0212,PRD007,,3996,4,
TX0155_3,CUST0212,PRD004,,1999,1,
TX0155_4,CUST0212,PRD023,,6995,5,
TX0155_5,CUST0212,PRD023,,5596,4,
TX0156_1,CUST0213,PRD027,,1495,5,
TX0156_2,CUST0213,PRD015,,1399,1,
TX0156_3,CUST0213,PRD028,,1198,2,
TX0157_1,CUST0214,PRD002,,799,1,
TX0157_2,CUST0214,PRD027,,897,3,
TX0157_3,CUST0214,PRD007,,2997,3,
TX0157_4,CUST0214,PRD018,,1899,1,
TX0157_5,CUST0214,PRD013,,1299,1,
TX0158_1,CUST0215,PRD029,,447,3,
TX0158_2,CUST0215,PRD008,,899,1,
TX0158_3,CUST0215,PRD034,,1947,3,
TX0159_1,CUST0217,PRD021,,499,1,
TX0160_1,CUST0218,PRD021,,1497,3,
TX0160_2,CUST0218,PRD024,,358,2,
TX0160_3,CUST0218,PRD033,,2998,2,
TX0160_4,CUST0218,PRD025,,1798,2,
TX0161_1,CUST0219,PRD010,,1396,4,
TX0161_2,CUST0219,PRD019,,399,1,
TX0162_1,CUST0220,PRD026,,2547,3,
TX0162_2,CUST0220,PRD021,,1996,4,
TX0162_3,CUST0220,PRD027,,598,2,
TX0162_4,CUST0220,PRD033,,4497,3,
TX0163_1,CUST0221,PRD005,,1196,4,
TX0163_2,CUST0221,PRD019,,399,1,
TX0163_3,CUST0221,PRD023,,5596,4,
TX0164_1,CUST0223,PRD031,,5995,5,
TX0164_2,CUST0223,PRD013,,2598,2,
TX0164_3,CUST0223,PRD001,,3996,4,
TX0164_4,CUST0223,PRD024,,179,1,
TX0165_1,CUST0224,PRD033,,5996,4,
TX0165_2,CUST0224,PRD036,,4396,4,
TX0165_3,CUST0224,PRD005,,1196,4,
TX0165_4,CUST0224,PRD035,,1299,1,
TX0166_1,CUST0225,PRD025,,3596,4,
TX0166_2,CUST0225,PRD024,,537,3,
TX0166_3,CUST0225,PRD031,,1199,1,
TX0166_4,CUST0225,PRD036,,2198,2,
TX0167_1,CUST0227,PRD012,,5996,4,
TX0167_2,CUST0227,PRD024,,358,2,
TX0167_3,CUST0227,PRD015,,4197,3,
TX0168_1,CUST0228,PRD032,,3196,4,
TX0168_2,CUST0228,PRD030,,2796,4,
TX0168_3,CUST0228,PRD027,,1196,4,
TX0168_4,CUST0228,PRD009,,3745,5,
TX0168_5,CUST0228,PRD014,,3597,3,
TX0169_1,CUST0229,PRD019,,1596,4,
TX0169_2,CUST0229,PRD029,,596,4,
TX0169_3,CUST0229,PRD003,,1797,3,
TX0169_4,CUST0229,PRD017,,356,4,
TX0170_1,CUST0230,PRD023,,4197,3,
