Company_ID,Customer_ID,OS,Device_Type,Event_Name,Event_Value,Event_Count,Session_Duration,Session_Number
CMP005,CUST4275,Web,Mobile,begin_checkout,5,10,617,13
CMP005,CUST1204,Web,Desktop,sign_up,4,1,190,16
CMP001,CUST0163,iOS,Tablet,click_promotion,4,3,1083,13
CMP001,CUST3666,iOS,Tablet,sign_up,4,9,813,3
CMP003,CUST3325,Android,Tablet,login,1,5,1657,2
CMP002,CUST4264,Web,Desktop,begin_checkout,5,8,635,7
CMP004,CUST1568,Android,Mobile,share,3,9,244,7
CMP003,CUST0131,Android,Tablet,click_promotion,4,5,885,7
CMP004,CUST4230,iOS,Tablet,share,3,2,1502,14
CMP002,CUST0556,iOS,Tablet,view_item,1,6,1070,8
CMP005,CUST2195,Web,Desktop,search,2,7,1355,12
CMP006,CUST0479,Web,Mobile,view_item,1,6,1208,10
CMP006,CUST3196,Web,Tablet,add_to_wishlist,2,9,1329,17
CMP006,CUST1499,Android,Mobile,share,3,2,829,13
CMP005,CUST0566,Android,Tablet,add_payment_info,6,2,1679,17
CMP001,CUST0730,Web,Desktop,add_payment_info,6,5,1448,3
CMP006,CUST3534,Web,Mobile,add_to_wishlist,2,1,1702,6
CMP001,CUST5000,iOS,Tablet,add_payment_info,6,1,1211,1
CMP003,CUST3317,Web,Tablet,add_payment_info,6,4,968,14
CMP002,CUST4255,Android,Tablet,sign_up,4,9,1703,4
CMP002,CUST0172,Android,Tablet,click_promotion,4,8,813,15
CMP006,CUST3068,iOS,Mobile,add_payment_info,6,8,1721,8
CMP005,CUST4976,iOS,Tablet,add_to_cart,3,7,341,13
CMP003,CUST2830,Web,Desktop,add_to_cart,3,4,386,17
CMP003,CUST3624,iOS,Mobile,share,3,1,868,20
CMP002,CUST0202,Android,Tablet,sign_up,4,9,1080,14
CMP001,CUST1383,Web,Mobile,begin_checkout,5,7,1692,12
CMP003,CUST3032,Android,Mobile,click_promotion,4,8,1286,19
CMP004,CUST4390,Web,Desktop,begin_checkout,5,3,1685,17
CMP006,CUST4594,Web,Desktop,add_payment_info,6,4,1034,11
CMP004,CUST2421,Android,Mobile,begin_checkout,5,7,45,14
CMP006,CUST2033,Android,Mobile,sign_up,4,7,970,12
CMP005,CUST2077,iOS,Tablet,share,3,10,843,8
CMP001,CUST1701,Android,Tablet,purchase,7,7,1512,20
CMP001,CUST0552,Web,Mobile,share,3,6,396,9
CMP001,CUST0126,Android,Tablet,view_item,1,8,435,20
CMP006,CUST3342,Web,Tablet,purchase,7,7,776,3
CMP002,CUST0301,Android,Mobile,add_to_cart,3,5,846,3
CMP005,CUST1385,iOS,Mobile,search,2,3,1163,16
CMP003,CUST0799,Web,Tablet,share,3,7,555,7
CMP001,CUST1754,Android,Mobile,add_to_cart,3,4,142,4
CMP002,CUST0859,Android,Mobile,search,2,3,277,12
CMP002,CUST2403,Web,Desktop,purchase,7,4,602,10
CMP001,CUST2811,iOS,Tablet,share,3,1,1191,1
CMP001,CUST3681,iOS,Mobile,share,3,6,1578,13
CMP006,CUST4090,Android,Mobile,view_item,1,8,772,6
CMP004,CUST4199,Web,Tablet,purchase,7,2,433,20
CMP005,CUST3382,Android,Mobile,login,1,6,1153,11
CMP001,CUST4339,Android,Tablet,view_item,1,9,254,20
CMP001,CUST3719,iOS,Mobile,view_item,1,5,880,8
CMP003,CUST1967,Android,Mobile,login,1,5,1598,18
CMP003,CUST4727,Android,Mobile,add_to_wishlist,2,10,753,5
CMP005,CUST3613,Web,Mobile,sign_up,4,8,1616,13
CMP002,CUST4882,Android,Mobile,click_promotion,4,5,1600,2
CMP002,CUST1827,iOS,Tablet,search,2,3,1097,4
CMP003,CUST2230,Web,Tablet,begin_checkout,5,6,1373,14
CMP002,CUST1208,iOS,Tablet,begin_checkout,5,1,1268,16
CMP004,CUST2792,Android,Tablet,add_to_cart,3,9,1459,2
CMP004,CUST1757,Web,Desktop,begin_checkout,5,8,659,12
CMP002,CUST1233,Android,Tablet,remove_from_cart,0,5,471,15
CMP005,CUST0278,iOS,Mobile,click_promotion,4,1,260,5
CMP006,CUST0236,Android,Tablet,add_to_cart,3,4,583,5
CMP006,CUST4097,iOS,Mobile,login,1,3,632,15
CMP004,CUST1412,Web,Tablet,remove_from_cart,0,6,325,1
CMP006,CUST2604,iOS,Mobile,purchase,7,4,678,8
CMP004,CUST1039,iOS,Tablet,add_to_cart,3,1,1125,19
CMP001,CUST0825,Android,Mobile,add_payment_info,6,6,1051,6
CMP003,CUST4166,Android,Mobile,remove_from_cart,0,2,1459,10
CMP004,CUST4198,Web,Desktop,remove_from_cart,0,9,1775,1
CMP003,CUST2810,Web,Tablet,share,3,4,572,12
CMP005,CUST0363,Android,Tablet,login,1,2,976,11
CMP005,CUST4129,iOS,Tablet,search,2,4,123,9
CMP004,CUST0212,Web,Mobile,view_item,1,9,1146,19
CMP004,CUST1251,iOS,Tablet,add_to_cart,3,6,896,4
CMP003,CUST2624,Web,Tablet,begin_checkout,5,8,437,4
CMP004,CUST3445,Android,Mobile,search,2,8,1780,14
CMP006,CUST3247,iOS,Tablet,search,2,3,1395,9
CMP001,CUST0217,Android,Mobile,view_item,1,7,1739,7
CMP004,CUST4453,Web,Mobile,add_payment_info,6,7,139,1
CMP002,CUST1595,iOS,Mobile,view_item,1,2,1365,5
CMP001,CUST3651,Web,Mobile,click_promotion,4,8,31,16
CMP001,CUST4923,iOS,Mobile,add_to_wishlist,2,1,902,15
CMP004,CUST4080,Web,Tablet,sign_up,4,6,910,11
CMP002,CUST4581,Web,Tablet,search,2,2,1727,20
CMP001,CUST1758,Web,Desktop,view_item,1,8,637,17
CMP003,CUST0632,Web,Desktop,sign_up,4,3,1273,11
CMP005,CUST4237,Android,Mobile,search,2,9,730,7
CMP004,CUST2613,Android,Tablet,share,3,6,1379,3
CMP002,CUST0229,iOS,Tablet,remove_from_cart,0,4,794,19
CMP004,CUST2525,Web,Desktop,click_promotion,4,3,223,11
CMP006,CUST1928,iOS,Mobile,add_payment_info,6,2,1179,5
CMP006,CUST4561,Web,Tablet,search,2,7,485,13
CMP001,CUST0486,Android,Mobile,add_payment_info,6,9,1453,6
CMP001,CUST0717,iOS,Mobile,begin_checkout,5,1,99,4
CMP001,CUST4804,iOS,Mobile,view_item,1,8,1074,14
CMP001,CUST1636,Android,Mobile,begin_checkout,5,8,1791,18
CMP001,CUST1568,iOS,Tablet,add_payment_info,6,1,1586,9
CMP005,CUST1719,Web,Mobile,view_item,1,5,1296,4
CMP005,CUST0221,iOS,Mobile,add_to_cart,3,6,143,4
CMP003,CUST0317,Android,Mobile,view_item,1,6,148,9
CMP006,CUST2582,iOS,Tablet,purchase,7,3,951,20
CMP003,CUST4419,Web,Tablet,click_promotion,4,8,1552,16
CMP005,CUST1372,Android,Mobile,add_to_wishlist,2,3,1634,13
CMP006,CUST1438,iOS,Tablet,remove_from_cart,0,10,159,11
CMP006,CUST4568,Android,Mobile,add_to_wishlist,2,7,1335,14
CMP002,CUST4227,Web,Desktop,begin_checkout,5,2,365,19
CMP006,CUST2382,iOS,Mobile,begin_checkout,5,6,934,17
CMP002,CUST3555,Android,Mobile,search,2,8,859,18
CMP003,CUST0097,iOS,Mobile,add_payment_info,6,9,1602,10
CMP003,CUST2651,Web,Mobile,add_to_cart,3,5,1103,16
CMP002,CUST0313,Android,Mobile,search,2,7,1268,19
CMP002,CUST0514,iOS,Mobile,remove_from_cart,0,8,1585,6
CMP003,CUST1377,Web,Tablet,search,2,3,1169,8
CMP004,CUST4992,iOS,Tablet,add_payment_info,6,8,1678,13
CMP006,CUST0565,Android,Tablet,click_promotion,4,8,552,2
CMP004,CUST2753,iOS,Tablet,add_payment_info,6,3,557,4
CMP005,CUST4873,Android,Mobile,add_payment_info,6,5,542,12
CMP005,CUST1227,Android,Mobile,login,1,1,919,8
CMP001,CUST1853,iOS,Mobile,purchase,7,6,1620,3
CMP005,CUST1642,Android,Tablet,remove_from_cart,0,4,1318,18
CMP005,CUST0811,Web,Mobile,purchase,7,3,944,4
CMP005,CUST1883,iOS,Mobile,share,3,1,1100,12
CMP005,CUST4896,Web,Desktop,begin_checkout,5,4,1648,19
CMP005,CUST2681,Web,Tablet,add_to_cart,3,2,1553,9
CMP001,CUST3470,Android,Mobile,begin_checkout,5,3,108,7
CMP006,CUST2286,iOS,Tablet,remove_from_cart,0,6,1306,19
CMP004,CUST2348,iOS,Tablet,sign_up,4,2,343,19
CMP005,CUST3453,iOS,Tablet,view_item,1,3,356,15
CMP005,CUST4262,Android,Tablet,add_to_wishlist,2,2,515,18
CMP004,CUST1037,iOS,Mobile,view_item,1,4,1668,9
CMP006,CUST1419,Web,Desktop,sign_up,4,9,921,7
CMP002,CUST0163,iOS,Mobile,remove_from_cart,0,3,1495,7
CMP003,CUST3290,Web,Mobile,sign_up,4,1,410,7
CMP003,CUST2566,iOS,Tablet,purchase,7,2,347,19
CMP005,CUST2968,iOS,Tablet,click_promotion,4,5,365,9
CMP003,CUST2039,Android,Mobile,search,2,4,462,13
CMP006,CUST3945,iOS,Tablet,add_to_wishlist,2,9,1422,3
CMP003,CUST1142,iOS,Tablet,click_promotion,4,6,1578,2
CMP005,CUST3861,iOS,Tablet,add_to_wishlist,2,10,1529,19
CMP002,CUST3692,Web,Desktop,view_item,1,3,220,10
CMP005,CUST1680,Android,Tablet,click_promotion,4,10,1351,18
CMP002,CUST2419,iOS,Mobile,begin_checkout,5,7,656,8
CMP004,CUST4010,Web,Tablet,add_payment_info,6,1,324,18
CMP002,CUST4219,iOS,Tablet,login,1,6,112,15
CMP006,CUST2746,iOS,Mobile,add_to_wishlist,2,3,622,6
CMP002,CUST2929,Web,Tablet,add_to_cart,3,5,693,16
CMP001,CUST3005,Android,Mobile,share,3,8,1566,18
CMP006,CUST2994,Android,Tablet,add_payment_info,6,7,644,1
CMP006,CUST2033,iOS,Mobile,login,1,1,212,1
CMP006,CUST0694,Android,Tablet,add_to_cart,3,8,156,5
CMP005,CUST0487,Android,Mobile,sign_up,4,8,1224,16
CMP004,CUST2493,iOS,Mobile,purchase,7,1,1632,13
CMP004,CUST2591,Web,Mobile,search,2,10,1504,4
CMP002,CUST4463,iOS,Tablet,view_item,1,9,79,3
CMP006,CUST2829,iOS,Tablet,begin_checkout,5,9,365,11
CMP005,CUST0596,iOS,Mobile,search,2,3,135,17
CMP004,CUST3540,Android,Mobile,remove_from_cart,0,4,1068,11
CMP004,CUST2726,Android,Mobile,remove_from_cart,0,5,1369,18
CMP003,CUST4924,iOS,Mobile,begin_checkout,5,5,1284,11
CMP002,CUST1803,Web,Desktop,login,1,1,1738,9
CMP001,CUST3249,Web,Desktop,sign_up,4,9,266,20
CMP005,CUST2809,Android,Tablet,add_to_cart,3,2,1456,6
CMP005,CUST2206,Web,Desktop,add_to_wishlist,2,8,1174,11
CMP004,CUST4790,iOS,Tablet,sign_up,4,3,1371,6
CMP002,CUST2930,Web,Tablet,click_promotion,4,4,739,8
CMP004,CUST1538,iOS,Tablet,add_to_wishlist,2,3,953,11
CMP005,CUST0500,Web,Desktop,click_promotion,4,9,1020,1
CMP004,CUST4531,Android,Mobile,add_payment_info,6,7,1691,4
CMP006,CUST3866,Android,Tablet,click_promotion,4,6,259,2
CMP006,CUST1082,Web,Desktop,purchase,7,4,766,19
CMP005,CUST3184,Web,Mobile,add_to_wishlist,2,8,1756,17
CMP003,CUST1143,Web,Tablet,remove_from_cart,0,5,649,3
CMP006,CUST4355,iOS,Mobile,add_to_cart,3,1,850,7
CMP005,CUST2467,Android,Tablet,purchase,7,10,1753,15
CMP006,CUST1279,Android,Mobile,login,1,8,495,4
CMP005,CUST0006,Web,Tablet,view_item,1,8,432,8
CMP005,CUST2452,Android,Mobile,remove_from_cart,0,6,797,9
CMP001,CUST0175,iOS,Tablet,share,3,4,1458,8
CMP002,CUST1350,Android,Mobile,view_item,1,7,963,17
CMP006,CUST1501,Android,Mobile,search,2,10,470,6
CMP006,CUST2501,Web,Desktop,login,1,1,33,1
CMP005,CUST2503,Web,Tablet,search,2,8,1377,10
CMP006,CUST0391,iOS,Mobile,begin_checkout,5,1,378,18
CMP006,CUST3728,Web,Desktop,purchase,7,4,1362,16
CMP002,CUST3477,Web,Tablet,sign_up,4,10,1384,5
CMP006,CUST1690,Android,Mobile,view_item,1,8,500,17
CMP006,CUST2000,Web,Desktop,purchase,7,3,1409,4
CMP001,CUST3376,iOS,Tablet,remove_from_cart,0,9,1600,15
CMP006,CUST2560,Web,Desktop,share,3,2,1617,11
CMP002,CUST2990,Android,Tablet,add_to_cart,3,3,60,19
CMP001,CUST1161,iOS,Tablet,view_item,1,7,1229,12
CMP001,CUST4617,iOS,Tablet,begin_checkout,5,7,1699,7
CMP003,CUST1324,Android,Tablet,add_to_cart,3,4,122,17
CMP006,CUST1403,Web,Tablet,remove_from_cart,0,1,846,1
CMP003,CUST4759,Web,Desktop,login,1,5,965,17
CMP005,CUST1512,Web,Tablet,remove_from_cart,0,6,1458,3
CMP003,CUST0051,Android,Mobile,search,2,9,1535,5
CMP003,CUST2814,Web,Mobile,add_payment_info,6,4,148,1
CMP003,CUST4087,Android,Tablet,view_item,1,2,1606,2
CMP004,CUST3221,iOS,Tablet,click_promotion,4,1,1733,12
CMP002,CUST4551,iOS,Mobile,remove_from_cart,0,9,1136,8
CMP005,CUST3863,Android,Tablet,view_item,1,10,297,18
CMP004,CUST1247,iOS,Mobile,share,3,10,554,15
CMP005,CUST2451,Android,Tablet,click_promotion,4,1,49,9
CMP002,CUST0838,Web,Mobile,share,3,9,194,13
CMP003,CUST3597,iOS,Mobile,login,1,4,1620,4
CMP005,CUST2817,iOS,Tablet,search,2,6,1624,17
CMP006,CUST4060,iOS,Tablet,add_to_cart,3,9,33,17
CMP002,CUST0384,Web,Tablet,add_to_wishlist,2,8,675,1
CMP001,CUST4051,iOS,Tablet,add_to_cart,3,5,199,17
CMP004,CUST2999,Android,Tablet,begin_checkout,5,7,40,13
CMP001,CUST4202,iOS,Tablet,add_to_wishlist,2,2,1743,7
CMP006,CUST3282,iOS,Mobile,click_promotion,4,10,423,2
CMP004,CUST3601,Web,Desktop,add_payment_info,6,8,261,4
CMP002,CUST3183,iOS,Tablet,add_to_cart,3,2,489,4
CMP006,CUST2584,iOS,Tablet,sign_up,4,6,818,3
CMP005,CUST0967,Web,Desktop,add_payment_info,6,6,410,12
CMP005,CUST0495,iOS,Tablet,purchase,7,8,935,8
CMP006,CUST1754,Web,Tablet,purchase,7,7,1653,17
CMP001,CUST2912,iOS,Tablet,view_item,1,4,1619,11
CMP002,CUST1938,iOS,Mobile,purchase,7,2,607,16
CMP006,CUST4287,iOS,Tablet,add_to_cart,3,7,243,16
CMP003,CUST1848,Web,Tablet,sign_up,4,3,1415,10
CMP002,CUST1223,Android,Mobile,add_to_wishlist,2,2,816,14
CMP002,CUST3525,Android,Tablet,begin_checkout,5,9,1048,12
CMP003,CUST1580,Web,Mobile,add_to_wishlist,2,7,1411,19
CMP003,CUST3993,Android,Mobile,click_promotion,4,5,1514,18
CMP003,CUST4862,Android,Mobile,purchase,7,1,1786,7
CMP004,CUST4388,iOS,Tablet,login,1,2,710,18
CMP004,CUST0394,Web,Mobile,view_item,1,1,1793,1
CMP002,CUST3072,Android,Tablet,add_to_wishlist,2,1,350,18
CMP002,CUST4935,iOS,Tablet,begin_checkout,5,5,1446,17
CMP006,CUST0080,Android,Tablet,purchase,7,8,1749,3
CMP003,CUST2166,Android,Mobile,login,1,7,390,7
CMP004,CUST0816,Web,Tablet,add_to_wishlist,2,8,1093,2
CMP001,CUST0498,Android,Mobile,login,1,6,1105,17
CMP004,CUST1224,Android,Tablet,add_to_wishlist,2,5,677,19
CMP001,CUST0490,iOS,Mobile,add_to_wishlist,2,9,879,17
CMP002,CUST1422,iOS,Mobile,add_payment_info,6,6,1004,5
CMP006,CUST0042,Web,Mobile,view_item,1,5,1177,6
CMP002,CUST4019,Web,Desktop,click_promotion,4,8,1417,8
CMP005,CUST4558,Web,Tablet,remove_from_cart,0,9,174,11
CMP001,CUST1598,Android,Tablet,remove_from_cart,0,7,300,8
CMP002,CUST1931,Web,Tablet,add_to_wishlist,2,9,1731,1
CMP006,CUST2462,Web,Desktop,click_promotion,4,10,630,6
CMP006,CUST0852,iOS,Mobile,view_item,1,1,969,4
CMP004,CUST4884,iOS,Tablet,search,2,9,1514,14
CMP003,CUST2740,Web,Desktop,click_promotion,4,4,1413,4
CMP001,CUST4431,Web,Mobile,begin_checkout,5,2,386,12
CMP006,CUST2728,Android,Tablet,begin_checkout,5,5,347,19
CMP001,CUST1507,iOS,Mobile,begin_checkout,5,4,277,14
CMP003,CUST0963,Android,Tablet,add_to_cart,3,8,947,9
CMP002,CUST0268,Web,Mobile,add_payment_info,6,2,879,15
CMP002,CUST1212,Android,Mobile,purchase,7,8,736,20
CMP002,CUST3602,Web,Tablet,search,2,9,297,2
CMP004,CUST1864,Android,Tablet,search,2,5,1655,6
CMP005,CUST2605,iOS,Mobile,purchase,7,9,986,1
CMP004,CUST1195,iOS,Tablet,search,2,3,1681,6
CMP003,CUST2331,Android,Mobile,add_to_cart,3,2,549,8
CMP003,CUST0986,Android,Tablet,remove_from_cart,0,4,268,5
CMP003,CUST2321,iOS,Mobile,view_item,1,9,100,6
CMP001,CUST2536,Web,Desktop,view_item,1,3,96,12
CMP006,CUST2403,iOS,Mobile,search,2,7,46,18
CMP004,CUST3350,Android,Tablet,add_to_cart,3,9,222,10
CMP005,CUST1731,Web,Mobile,remove_from_cart,0,4,168,1
CMP003,CUST0549,iOS,Tablet,view_item,1,5,1573,5
CMP004,CUST2124,Web,Mobile,click_promotion,4,6,646,7
CMP002,CUST0300,Android,Tablet,add_to_wishlist,2,1,424,7
CMP005,CUST3798,Web,Desktop,view_item,1,8,1185,18
CMP002,CUST2790,iOS,Mobile,add_to_wishlist,2,5,1540,3
CMP001,CUST2424,Web,Mobile,purchase,7,1,1472,16
CMP001,CUST0248,iOS,Tablet,begin_checkout,5,9,1191,1
CMP005,CUST3836,Android,Mobile,add_to_wishlist,2,9,835,1
CMP002,CUST1585,Web,Tablet,sign_up,4,10,203,9
CMP006,CUST1243,iOS,Tablet,purchase,7,5,1457,7
CMP001,CUST3628,iOS,Mobile,add_to_cart,3,7,136,16
CMP004,CUST3760,iOS,Mobile,view_item,1,8,791,1
CMP006,CUST1127,iOS,Tablet,share,3,2,1464,16
CMP005,CUST2355,iOS,Mobile,search,2,2,707,4
CMP003,CUST4625,Android,Tablet,share,3,1,368,3
CMP004,CUST4357,iOS,Mobile,login,1,6,66,9
CMP003,CUST4745,Android,Tablet,purchase,7,8,1604,1
CMP002,CUST2136,iOS,Mobile,add_to_wishlist,2,1,48,4
CMP002,CUST2476,Web,Tablet,purchase,7,5,171,15
CMP004,CUST0763,iOS,Tablet,add_payment_info,6,7,1563,3
CMP003,CUST0849,iOS,Mobile,search,2,2,754,8
CMP001,CUST1644,Android,Tablet,remove_from_cart,0,5,1514,15
CMP001,CUST0525,iOS,Tablet,begin_checkout,5,3,1247,10
CMP004,CUST0218,Android,Mobile,click_promotion,4,3,1371,2
CMP002,CUST2416,Web,Tablet,add_to_wishlist,2,6,1572,11
CMP002,CUST1363,iOS,Tablet,search,2,1,1283,8
CMP005,CUST2672,Android,Mobile,share,3,6,1767,10
CMP004,CUST2322,Web,Desktop,search,2,10,1107,8
CMP001,CUST4124,Web,Desktop,login,1,2,94,1
CMP002,CUST2651,Android,Tablet,begin_checkout,5,4,1601,18
CMP005,CUST4129,iOS,Tablet,add_to_cart,3,2,116,8
CMP005,CUST3699,Web,Mobile,search,2,1,570,6
CMP001,CUST0528,Web,Mobile,login,1,1,250,17
CMP006,CUST3616,Web,Desktop,add_payment_info,6,10,1102,16
CMP004,CUST0971,Android,Tablet,sign_up,4,6,1612,19
CMP001,CUST3929,Web,Tablet,remove_from_cart,0,7,1753,7
CMP004,CUST4292,iOS,Mobile,purchase,7,10,726,19
CMP003,CUST3094,Web,Desktop,add_to_cart,3,2,314,19
CMP005,CUST1951,Android,Mobile,begin_checkout,5,9,766,4
CMP006,CUST0545,iOS,Tablet,search,2,1,1116,10
CMP004,CUST2658,Android,Mobile,sign_up,4,5,1079,12
CMP006,CUST0548,Web,Desktop,click_promotion,4,7,1408,6
CMP005,CUST2476,Web,Tablet,add_to_cart,3,1,604,9
CMP005,CUST3712,iOS,Tablet,sign_up,4,4,60,12
CMP003,CUST2663,Web,Tablet,login,1,5,1075,12
CMP001,CUST3088,iOS,Mobile,add_to_wishlist,2,2,853,2
CMP004,CUST1949,Web,Tablet,search,2,7,161,5
CMP002,CUST0229,Android,Tablet,view_item,1,1,380,13
CMP002,CUST0514,Web,Tablet,purchase,7,4,1785,5
CMP001,CUST3885,Web,Desktop,sign_up,4,2,1080,12
CMP006,CUST0309,Android,Tablet,remove_from_cart,0,4,1466,16
CMP004,CUST4787,iOS,Mobile,sign_up,4,4,1265,19
CMP001,CUST1810,Android,Tablet,add_to_cart,3,5,938,19
CMP002,CUST1634,iOS,Mobile,add_to_cart,3,5,550,3
CMP005,CUST4627,Android,Mobile,sign_up,4,5,137,9
CMP003,CUST4528,Android,Tablet,view_item,1,10,63,17
CMP001,CUST4183,Android,Tablet,share,3,5,1608,7
CMP001,CUST0890,iOS,Tablet,add_payment_info,6,7,1777,2
CMP006,CUST4201,Web,Desktop,login,1,3,1225,2
CMP004,CUST1816,Android,Mobile,click_promotion,4,8,897,12
CMP001,CUST3080,iOS,Tablet,login,1,5,1682,1
CMP003,CUST3461,iOS,Tablet,add_payment_info,6,5,1767,17
CMP003,CUST4670,Web,Tablet,remove_from_cart,0,7,722,17
CMP006,CUST3759,Web,Tablet,add_payment_info,6,4,554,1
CMP002,CUST4287,Web,Mobile,sign_up,4,1,216,20
CMP002,CUST2746,Web,Mobile,remove_from_cart,0,10,307,19
CMP005,CUST2672,Web,Tablet,sign_up,4,4,183,16
CMP005,CUST4891,iOS,Tablet,add_to_cart,3,8,1194,10
CMP006,CUST0407,Android,Mobile,add_to_wishlist,2,10,722,17
CMP004,CUST3931,iOS,Mobile,click_promotion,4,2,862,19
CMP006,CUST2566,iOS,Mobile,sign_up,4,4,1521,10
CMP001,CUST4222,Web,Tablet,view_item,1,4,709,13
CMP004,CUST0240,Web,Tablet,add_to_cart,3,4,901,3
CMP006,CUST2556,Web,Desktop,search,2,2,411,6
CMP004,CUST3884,iOS,Tablet,remove_from_cart,0,6,1785,11
CMP004,CUST1790,Web,Tablet,login,1,7,900,1
CMP006,CUST1945,Android,Mobile,purchase,7,7,632,8
CMP006,CUST1324,Android,Mobile,share,3,6,978,2
CMP006,CUST2419,iOS,Mobile,add_payment_info,6,5,414,6
CMP002,CUST0814,iOS,Mobile,begin_checkout,5,8,1145,19
CMP001,CUST2362,iOS,Mobile,view_item,1,5,158,15
CMP005,CUST1437,Android,Mobile,share,3,4,43,5
CMP004,CUST1519,iOS,Mobile,add_payment_info,6,9,1455,15
CMP004,CUST1086,iOS,Tablet,sign_up,4,8,896,4
CMP001,CUST2915,Android,Tablet,login,1,1,566,13
CMP001,CUST1620,iOS,Mobile,click_promotion,4,9,210,5
CMP003,CUST2422,Web,Tablet,sign_up,4,8,1009,20
CMP006,CUST1820,Android,Mobile,click_promotion,4,5,823,4
CMP003,CUST0526,iOS,Tablet,search,2,6,1021,20
CMP005,CUST3524,Web,Tablet,purchase,7,1,833,19
CMP003,CUST1043,Web,Desktop,view_item,1,8,1400,15
CMP001,CUST4743,Android,Tablet,view_item,1,1,840,15
CMP005,CUST0894,Web,Desktop,view_item,1,7,1696,11
CMP001,CUST0086,Web,Tablet,add_to_cart,3,9,517,11
CMP006,CUST1336,iOS,Tablet,purchase,7,2,1323,17
CMP005,CUST1341,Android,Tablet,sign_up,4,8,899,6
CMP005,CUST1509,iOS,Tablet,begin_checkout,5,4,731,2
CMP002,CUST0709,Web,Mobile,purchase,7,3,1679,15
CMP006,CUST4416,iOS,Tablet,purchase,7,1,1333,11
CMP002,CUST1219,Android,Mobile,view_item,1,9,1481,5
CMP004,CUST0576,Android,Tablet,add_to_wishlist,2,9,278,6
CMP001,CUST4918,Android,Tablet,share,3,10,766,18
CMP004,CUST0429,iOS,Mobile,add_payment_info,6,3,1053,2
CMP003,CUST0843,iOS,Tablet,login,1,5,708,9
CMP003,CUST4654,Web,Tablet,add_payment_info,6,4,88,12
CMP005,CUST0478,iOS,Mobile,click_promotion,4,3,652,5
CMP006,CUST2251,Web,Tablet,click_promotion,4,2,256,10
CMP003,CUST4119,Android,Mobile,remove_from_cart,0,3,984,16
